epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.46541667,1.614035255710284,0.7464071,1.0710868940633886
1,0.69,0.9674252333243688,0.7922794,0.6737797610899982
2,0.7372917,0.7812644214431445,0.8061497,0.5731227205080145
3,0.76197916,0.6823370983203252,0.81776404,0.5216434196354871
4,0.77875,0.6225367392102877,0.82703876,0.48969102909858214
5,0.78583336,0.6065429031848908,0.83096594,0.4681611128031889
6,0.7944792,0.5807431251307329,0.8368984,0.4523677105572134
7,0.80114585,0.5591402108470599,0.8409926,0.4393428019023834
8,0.80677086,0.5527492478489876,0.8458389,0.4281419976191087
9,0.8076042,0.5372952558100224,0.8431651,0.42046618254426965
10,0.81354165,0.5215402995546659,0.84876335,0.4116897664286874
11,0.81416667,0.5169880051910877,0.8501003,0.4052013705439746
12,0.80833334,0.5278651696443558,0.85285765,0.3984982754616814
13,0.82239586,0.5007044144968191,0.85586566,0.3923168952133566
14,0.8225,0.49346112117171287,0.85837233,0.3885863401832428
15,0.82458335,0.48040833746393524,0.85954213,0.38333971846231163
16,0.82635415,0.48499734689791996,0.86104614,0.37859858556545994
17,0.8271875,0.470868710031112,0.8620488,0.377092425756276
18,0.828125,0.474130170494318,0.86405414,0.3712941334846823
19,0.8278125,0.4810438605149587,0.86380345,0.3686877886719882
20,0.8259375,0.4681321769207716,0.8657253,0.36643251027652923
21,0.8304167,0.462030751456817,0.8671457,0.36233905348229534
22,0.83135414,0.4603493799765905,0.8668951,0.3620128368630129
23,0.8389583,0.44786025310556093,0.8683155,0.3578249512509229
24,0.83260417,0.4589767454564571,0.8672293,0.3581379871954892
25,0.8383333,0.44380169128378233,0.87057155,0.3547988580988053
26,0.8436458,0.4327854171892007,0.870488,0.35166229714046826
27,0.8332292,0.4593620141843955,0.8693182,0.3506674692433148
28,0.8360417,0.44471403007706006,0.87240976,0.34951793613599585
29,0.8396875,0.42933511984845,0.87215906,0.34729159571588997
